merchant,category,amount,street,city,state,zip,latitude,longitude,city_population,job,unix_time,merchant_latitude,merchant_longitude,is_fraud,transaction_date,transaction_time
fraud_Bauch-Raynor,grocery_pos,57.34,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1325376788,42.26876,-71.217297,0,1/1/2019,0:13:08
fraud_Harris Inc,gas_transport,50.79,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1325376877,40.18893,-91.955115,0,1/1/2019,0:14:37
fraud_Kling-Grant,grocery_net,46.28,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1325377036,40.021888,-74.228188,0,1/1/2019,0:17:16
fraud_Pacocha-Bauch,shopping_pos,9.55,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1325377060,31.62635,-98.610225,0,1/1/2019,0:17:40
fraud_Lesch Ltd,shopping_pos,22.95,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1325377086,43.375041,-89.055065,0,1/1/2019,0:18:06
fraud_Kunde-Sanford,misc_net,2.55,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1325377087,36.74987,-78.67787,0,1/1/2019,0:18:07
fraud_Deckow-O'Conner,grocery_pos,64.09,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1325377215,42.360426,-83.552316,0,1/1/2019,0:20:15
fraud_Bruen-Yost,misc_pos,6.85,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1325377292,43.753735,-111.454923,0,1/1/2019,0:21:32
fraud_Kunze Inc,grocery_pos,90.22,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,1325377326,19.560013,-156.045889,0,1/1/2019,0:22:06
"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,1325377338,42.47559,-101.265846,0,1/1/2019,0:22:18
"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,1325377356,44.278191,-121.815161,0,1/1/2019,0:22:36
"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1325377359,36.294205,-89.811282,0,1/1/2019,0:22:39
fraud_Torphy-Goyette,shopping_pos,66.21,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,1325377364,46.412038,-88.516663,0,1/1/2019,0:22:44
fraud_Balistreri-Nader,misc_pos,25.58,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1325377421,29.737426,-90.853194,0,1/1/2019,0:23:41
"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1325377438,38.880898,-76.441116,0,1/1/2019,0:23:58
fraud_Hudson-Ratke,grocery_pos,99,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",1325377546,36.823545,-83.90104,0,1/1/2019,0:25:46
fraud_Heidenreich PLC,grocery_pos,207.36,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1325377582,40.202538,-73.859212,0,1/1/2019,0:26:22
fraud_Halvorson Group,misc_pos,181.35,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1325377665,31.939812,-90.726209,0,1/1/2019,0:27:45
fraud_Harber Inc,gas_transport,82.22,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1325377676,40.586238,-75.802249,0,1/1/2019,0:27:56
"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1325377751,40.011959,-72.594808,0,1/1/2019,0:29:11
"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1325377849,40.332519,-99.062962,0,1/1/2019,0:30:49
fraud_Howe Ltd,misc_pos,54.02,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1325377861,42.041783,-73.076424,0,1/1/2019,0:31:01
fraud_Ledner-Pfannerstill,gas_transport,102.13,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1325377911,39.807313,-109.348294,0,1/1/2019,0:31:51
fraud_Lockman Ltd,grocery_pos,212.75,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1325377935,38.862183,-101.234087,0,1/1/2019,0:32:15
fraud_Koepp-Witting,grocery_pos,130.4,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1325377935,42.236269,-88.397336,0,1/1/2019,0:32:15
fraud_Doyle Ltd,grocery_pos,91.16,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1325377967,27.588953,-99.816911,0,1/1/2019,0:32:47
"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1325378031,35.255978,-86.041872,0,1/1/2019,0:33:51
fraud_Stracke-Lemke,grocery_pos,83.07,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1325378050,48.682111,-122.719904,0,1/1/2019,0:34:10
"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1325378172,39.681736,-88.323862,0,1/1/2019,0:36:12
fraud_Cartwright-Harris,grocery_pos,130.89,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",1325378218,33.595647,-90.234118,0,1/1/2019,0:36:58
fraud_Pacocha-O'Reilly,grocery_pos,103,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1325378238,35.034285,-92.34301,0,1/1/2019,0:37:18
fraud_Pfeffer LLC,grocery_net,50.82,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,1325378362,34.852665,-98.90267,0,1/1/2019,0:39:22
fraud_Huels-Hahn,gas_transport,60.77,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1325378377,45.323099,-85.116543,0,1/1/2019,0:39:37
fraud_Volkman PLC,food_dining,122.86,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1325378383,32.282224,-97.46183,0,1/1/2019,0:39:43
fraud_Kiehn-Emmerich,grocery_pos,212.45,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1325378444,31.414174,-87.138632,0,1/1/2019,0:40:44
fraud_Kemmer-Buckridge,misc_pos,7.33,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1325378448,43.1763,-77.901777,0,1/1/2019,0:40:48
fraud_Cummerata-Jones,gas_transport,70.53,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1325378450,46.043252,-117.962133,0,1/1/2019,0:40:50
"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,0881 Lori Pines,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,1325378458,39.240962,-76.712732,0,1/1/2019,0:40:58
fraud_Spinka-Welch,grocery_net,50.45,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1325378503,41.776673,-93.350689,0,1/1/2019,0:41:43
fraud_Huel-Langworth,misc_net,177.57,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1325378505,38.419431,-109.380252,0,1/1/2019,0:41:45
fraud_Macejkovic-Lesch,shopping_pos,8.57,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1325378546,32.023302,-82.58345,0,1/1/2019,0:42:26
fraud_Corwin-Collins,gas_transport,56.66,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1325378618,44.00529,-86.25199,0,1/1/2019,0:43:38
fraud_Morar Inc,grocery_net,75.34,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,1325378660,38.817293,-77.833468,0,1/1/2019,0:44:20
"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1325378683,43.585423,-70.449359,0,1/1/2019,0:44:43
"fraud_Huel, Hammes and Witting",grocery_pos,92.84,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1325378713,49.080153,-113.53238,0,1/1/2019,0:45:13
"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,1325378778,37.548452,-121.536454,0,1/1/2019,0:46:18
fraud_Heathcote LLC,shopping_net,101.35,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1325378875,46.796891,-86.331091,0,1/1/2019,0:47:55
fraud_Huel-Langworth,misc_net,303.47,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",1325378889,36.394203,-82.514283,0,1/1/2019,0:48:09
"fraud_Little, Gutmann and Lynch",shopping_net,83.52,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1325378965,40.992141,-98.831582,0,1/1/2019,0:49:25
fraud_Torphy-Goyette,shopping_pos,9.97,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,1325378971,38.075226,-99.138453,0,1/1/2019,0:49:31
fraud_Jaskolski-Dibbert,grocery_net,16.16,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1325379053,39.222743,-78.839099,0,1/1/2019,0:50:53
fraud_Hackett-Lueilwitz,grocery_pos,59.56,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1325379177,25.801181,-82.351291,0,1/1/2019,0:52:57
fraud_Cummings LLC,gas_transport,57.23,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,1325379305,36.144895,-92.188172,0,1/1/2019,0:55:05
"fraud_Swaniawski, Lowe and Robel",shopping_pos,317.14,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",1325379372,35.268124,-112.682895,0,1/1/2019,0:56:12
"fraud_Osinski, Ledner and Leuschke",grocery_pos,127.88,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,1325379404,38.860981,-86.773396,0,1/1/2019,0:56:44
"fraud_Reichert, Huels and Hoppe",shopping_net,113.4,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1325379419,42.868965,-108.50335,0,1/1/2019,0:56:59
fraud_Ankunding LLC,shopping_net,94.53,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1325379437,37.84676,-79.262334,0,1/1/2019,0:57:17
fraud_Pfeffer and Sons,shopping_pos,1.82,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1325379450,31.973466,-84.244731,0,1/1/2019,0:57:30
"fraud_Greenholt, Jacobi and Gleason",gas_transport,75.77,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1325379482,42.889256,-71.888107,0,1/1/2019,0:58:02
fraud_Kunze Inc,grocery_pos,108.59,273 Phillip Throughway,Bigelow,MN,56117,43.5336,-95.6515,399,Economist,1325379533,44.51103,-95.934394,0,1/1/2019,0:58:53
fraud_Harris Inc,gas_transport,48.68,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1325379565,40.237898,-79.894073,0,1/1/2019,0:59:25
"fraud_Connelly, Reichert and Fritsch",gas_transport,72.35,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1325379619,39.308098,-81.698525,0,1/1/2019,1:00:19
fraud_Howe Ltd,misc_pos,218.71,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1325379648,39.335171,-104.102882,0,1/1/2019,1:00:48
fraud_Torp-Labadie,gas_transport,52.59,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1325379708,45.084808,-73.626071,0,1/1/2019,1:01:48
fraud_Wolf Inc,grocery_pos,89.11,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1325379736,40.773306,-92.821257,0,1/1/2019,1:02:16
fraud_VonRueden Group,grocery_net,89.35,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1325379773,44.630758,-87.123894,0,1/1/2019,1:02:53
fraud_Vandervort-Funk,grocery_pos,50.68,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,1325379888,38.482541,-108.853856,0,1/1/2019,1:04:48
fraud_Bernhard Inc,gas_transport,64.47,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1325379966,40.068764,-79.826882,0,1/1/2019,1:06:06
"fraud_Morissette, Weber and Wiegand",grocery_net,63.58,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",1325379982,41.8136,-81.23077,0,1/1/2019,1:06:22
fraud_Brekke and Sons,gas_transport,81.85,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1325380111,33.828473,-81.642924,0,1/1/2019,1:08:31
fraud_Mraz-Herzog,gas_transport,59.7,1007 Colton Forks,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1325380162,36.962777,-77.640054,0,1/1/2019,1:09:22
fraud_Ledner-Pfannerstill,gas_transport,90.54,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",1325380181,32.990285,-117.836803,0,1/1/2019,1:09:41
fraud_Padberg-Welch,grocery_pos,50.57,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1325380197,38.394608,-76.437916,0,1/1/2019,1:09:57
"fraud_Rippin, Kub and Mann",misc_net,3.79,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1325380197,40.813669,-75.283465,0,1/1/2019,1:09:57
fraud_Kutch-Hegmann,grocery_net,54.54,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1325380216,38.69322,-115.87599,0,1/1/2019,1:10:16
fraud_Corwin-Gorczany,misc_net,3.35,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1325380262,41.907592,-95.809232,0,1/1/2019,1:11:02
fraud_Huels-Nolan,gas_transport,50.61,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,1325380451,41.027284,-89.416172,0,1/1/2019,1:14:11
fraud_Jaskolski-Dibbert,grocery_net,50.74,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1325380451,34.266941,-96.709668,0,1/1/2019,1:14:11
fraud_DuBuque LLC,grocery_pos,186.73,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,1325380495,27.610009,-79.49811,0,1/1/2019,1:14:55
fraud_Kutch-Hegmann,grocery_net,39.95,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,1325380501,33.651123,-91.902918,0,1/1/2019,1:15:01
fraud_Brekke and Sons,gas_transport,55.18,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,1325380612,27.346033,-80.475563,0,1/1/2019,1:16:52
"fraud_Mosciski, Gislason and Mertz",grocery_pos,92.99,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,1325380664,40.706082,-80.366274,0,1/1/2019,1:17:44
fraud_Schmeler Inc,misc_pos,43.02,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1325380690,41.419964,-79.957263,0,1/1/2019,1:18:10
"fraud_Schaefer, McGlynn and Bosco",gas_transport,51.33,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1325380742,42.508248,-105.34481,0,1/1/2019,1:19:02
fraud_Williamson LLC,misc_pos,47.85,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1325380753,40.712685,-72.124522,0,1/1/2019,1:19:13
fraud_Pouros-Conroy,shopping_pos,9.23,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1325380850,41.395142,-74.887524,0,1/1/2019,1:20:50
fraud_Erdman-Kertzmann,gas_transport,80.36,248 James Squares Apt. 838,Halstad,MN,56548,47.3551,-96.798,771,"Scientist, audiological",1325380910,46.60956,-96.630804,0,1/1/2019,1:21:50
fraud_Kuhn LLC,misc_net,6.36,5884 Sandoval Square Apt. 371,Allenhurst,NJ,7711,40.2367,-74.0067,1533,"Administrator, charities/voluntary organisations",1325380934,39.926556,-73.774415,0,1/1/2019,1:22:14
fraud_Fisher-Schowalter,shopping_net,226.33,168 Michael Coves Suite 343,June Lake,CA,93529,37.7773,-119.0825,633,Health service manager,1325380976,36.819789,-119.670559,0,1/1/2019,1:22:56
fraud_Medhurst PLC,shopping_net,215.99,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1325380980,42.988724,-123.904978,0,1/1/2019,1:23:00
fraud_Kerluke Inc,misc_net,1.47,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,1325380997,41.14486,-99.38762,0,1/1/2019,1:23:17
fraud_Stark-Batz,entertainment,5.83,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,1325381006,31.798954,-86.213243,0,1/1/2019,1:23:26
"fraud_Gottlieb, Considine and Schultz",shopping_net,51.04,755 Gardner Heights Apt. 420,Paxton,MA,1612,42.3066,-71.9202,4845,Accounting technician,1325381018,41.948237,-71.668538,0,1/1/2019,1:23:38
fraud_Bauch-Raynor,grocery_pos,122.05,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,1325381030,41.609064,-99.650276,0,1/1/2019,1:23:50
"fraud_Adams, Kovacek and Kuhlman",grocery_net,106.19,16744 Campbell Wall Apt. 372,Timberville,VA,22853,38.6476,-78.7717,4367,Waste management officer,1325381126,38.336898,-79.568795,0,1/1/2019,1:25:26
"fraud_Huel, Hammes and Witting",grocery_pos,129.09,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1325381163,40.92927,-79.548333,0,1/1/2019,1:26:03
fraud_Grimes LLC,entertainment,7.06,1007 Colton Forks,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1325381302,37.426207,-76.502881,0,1/1/2019,1:28:22
fraud_Rodriguez Group,gas_transport,61.71,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,1325381304,36.694647,-97.517515,0,1/1/2019,1:28:24
fraud_Bernhard Inc,gas_transport,45.77,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1325381421,36.687137,-85.278013,0,1/1/2019,1:30:21
fraud_Bernhard Inc,gas_transport,61,144 Yu Locks Apt. 754,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1325381446,43.123814,-75.052169,0,1/1/2019,1:30:46
fraud_Wuckert-Walter,grocery_net,38.7,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1325381502,39.880088,-94.193907,0,1/1/2019,1:31:42
fraud_Weber and Sons,food_dining,98.24,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1325381513,30.906565,-90.486622,0,1/1/2019,1:31:53
"fraud_Herman, Treutel and Dickens",misc_net,3.66,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1325381548,40.7433,-90.088705,0,1/1/2019,1:32:28
fraud_Halvorson Group,misc_pos,34.11,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1325381551,30.474879,-91.588063,0,1/1/2019,1:32:31
fraud_Rau and Sons,grocery_pos,134.66,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1325381557,43.994486,-75.603839,0,1/1/2019,1:32:37
fraud_Kutch-Hegmann,grocery_net,55.6,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1325381631,41.081282,-92.85909,0,1/1/2019,1:33:51
fraud_Koss and Sons,gas_transport,58.79,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1325381632,44.015435,-76.027125,0,1/1/2019,1:33:52
fraud_Smitham-Schiller,grocery_net,57.43,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1325381650,41.669034,-73.271605,0,1/1/2019,1:34:10
fraud_Hudson-Ratke,grocery_pos,83.81,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1325381665,36.822396,-78.452392,0,1/1/2019,1:34:25
fraud_Hills-Olson,grocery_net,27.03,0356 Sarah Light,Ballwin,MO,63021,38.577,-90.5255,92608,"Engineer, communications",1325381665,38.984909,-90.842219,0,1/1/2019,1:34:25
fraud_Durgan-Auer,misc_net,23.8,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",1325381766,40.110823,-124.429537,0,1/1/2019,1:36:06
"fraud_Swaniawski, Lowe and Robel",shopping_pos,3.74,292 Lowe Dam Suite 858,West Palm Beach,FL,33417,26.7197,-80.1248,459921,Historic buildings inspector/conservation officer,1325381808,26.192035,-80.032857,0,1/1/2019,1:36:48
fraud_McDermott-Rice,misc_pos,9.07,766 Potter Well,West Chazy,NY,12992,44.797,-73.5112,4778,Engineering geologist,1325381814,44.070021,-73.688454,0,1/1/2019,1:36:54
"fraud_Raynor, Reinger and Hagenes",gas_transport,64.72,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1325381826,36.265214,-81.891953,0,1/1/2019,1:37:06
